Transaction ID,Product Name,Category,Units Sold,Unit Price,Total Revenue,Discount Applied,Store Location,Channel,Date of Sale,Day,Month,Year,Weather,Holiday
T03403,Gadget X,Groceries,14,3379.75,47316.5,20%,Mumbai,Online,2023-03-14,14,March,2023,Sunny,No
T03404,Device M,Electronics,14,2107.87,29510.18,5%,Bengaluru,Online,2023-12-25,25,December,2023,Cloudy,No
T03405,Widget A,Groceries,6,4707.2,28243.2,5%,Hyderabad,Online,2023-07-24,24,July,2023,Sunny,No
T03406,Gadget X,Tools,16,3372.39,53958.24,20%,Mumbai,Offline,2024-03-11,11,March,2024,Windy,No
T03407,Widget B,Electronics,2,1113.24,2226.48,5%,Kolkata,Online,2023-09-27,27,September,2023,Windy,Yes
T03408,Tool Z,Tools,1,3012.43,3012.43,10%,Kolkata,Offline,2024-02-19,19,February,2024,Rainy,No
T03409,Gadget Y,Groceries,5,986.16,4930.8,5%,Bengaluru,Offline,2024-12-04,4,December,2024,Windy,Yes
T03410,Gadget X,Electronics,4,3213.05,12852.2,0%,Kolkata,Offline,2022-02-18,18,February,2022,Sunny,Yes
T03411,Gadget X,Electronics,17,2765.52,47013.84,0%,Mumbai,Offline,2023-03-04,4,March,2023,Rainy,No
T03412,Device M,Toys,19,581.45,11047.55,0%,Pune,Offline,2023-08-07,7,August,2023,Foggy,No
T03413,Widget B,Toys,3,4656.16,13968.48,20%,Mumbai,Online,2023-02-06,6,February,2023,Cloudy,Yes
T03414,Gadget Y,Tools,1,4033.95,4033.95,20%,Chennai,Offline,2024-03-17,17,March,2024,Cloudy,Yes
T03415,Gadget X,Groceries,12,4698.32,56379.84,20%,Chennai,Offline,2024-05-01,1,May,2024,Rainy,Yes
T03416,Gadget Y,Groceries,16,4115.7,65851.2,5%,Bengaluru,Online,2024-06-23,23,June,2024,Windy,No
T03417,Gadget X,Toys,18,4756.9,85624.2,10%,Pune,Offline,2023-10-01,1,October,2023,Windy,Yes
T03418,Gadget Y,Tools,3,63.96,191.88,5%,Mumbai,Offline,2024-07-03,3,July,2024,Rainy,Yes
T03419,Tool Z,Tools,18,1520.85,27375.3,20%,Kolkata,Offline,2024-10-03,3,October,2024,Foggy,Yes
T03420,Gadget X,Home Appliances,4,334.53,1338.12,15%,Mumbai,Online,2024-08-06,6,August,2024,Sunny,No
T03421,Tool Z,Tools,9,1615.53,14539.77,10%,Bengaluru,Offline,2022-06-24,24,June,2022,Foggy,Yes
T03422,Widget B,Tools,15,4112.33,61684.95,20%,Pune,Online,2024-11-27,27,November,2024,Rainy,No
T03423,Widget A,Toys,14,3795.39,53135.46,15%,Delhi,Online,2023-04-04,4,April,2023,Foggy,Yes
T03424,Widget A,Home Appliances,14,4512.32,63172.48,5%,Kolkata,Offline,2023-03-26,26,March,2023,Sunny,Yes
T03425,Gadget Y,Toys,13,1307.29,16994.77,20%,Kolkata,Offline,2023-11-19,19,November,2023,Cloudy,No
T03426,Gadget Y,Groceries,18,4269.84,76857.12,15%,Mumbai,Online,2022-01-09,9,January,2022,Windy,No
T03427,Widget A,Toys,12,3821.8,45861.6,5%,Mumbai,Online,2022-07-21,21,July,2022,Foggy,No
T03428,Device M,Electronics,11,2791.99,30711.89,0%,Pune,Offline,2024-04-06,6,April,2024,Foggy,No
T03429,Gadget Y,Home Appliances,8,181.6,1452.8,20%,Hyderabad,Online,2023-04-18,18,April,2023,Foggy,No
T03430,Tool Z,Tools,17,3399.95,57799.15,15%,Chennai,Offline,2022-10-14,14,October,2022,Windy,Yes
T03431,Tool Z,Toys,8,4683.87,37470.96,0%,Ahmedabad,Online,2024-04-28,28,April,2024,Sunny,No
T03432,Device M,Toys,18,1614.6,29062.8,20%,Hyderabad,Online,2024-12-07,7,December,2024,Foggy,No
T03433,Tool Z,Tools,9,2952.5,26572.5,0%,Delhi,Offline,2022-02-16,16,February,2022,Rainy,Yes
T03434,Widget B,Tools,17,1138.94,19361.98,10%,Delhi,Offline,2023-11-08,8,November,2023,Rainy,Yes
T03435,Widget B,Tools,5,4160.48,20802.4,15%,Mumbai,Offline,2024-08-28,28,August,2024,Foggy,No
T03436,Widget A,Toys,7,1791.48,12540.36,5%,Bengaluru,Online,2024-08-11,11,August,2024,Foggy,No
T03437,Gadget X,Tools,13,1991.92,25894.96,0%,Bengaluru,Offline,2024-01-11,11,January,2024,Foggy,Yes
T03438,Gadget Y,Toys,17,3500.16,59502.72,0%,Kolkata,Offline,2022-01-26,26,January,2022,Windy,No
T03439,Gadget Y,Toys,19,1401.86,26635.34,20%,Mumbai,Online,2023-11-13,13,November,2023,Foggy,No
T03440,Device M,Groceries,3,3454.1,10362.3,15%,Pune,Online,2024-12-01,1,December,2024,Rainy,Yes
T03441,Gadget X,Home Appliances,12,3417.2,41006.4,15%,Delhi,Offline,2023-08-13,13,August,2023,Foggy,No
T03442,Gadget X,Electronics,12,2425.24,29102.88,0%,Delhi,Online,2022-11-06,6,November,2022,Windy,Yes
T03443,Gadget X,Tools,1,4362.79,4362.79,20%,Mumbai,Online,2022-06-11,11,June,2022,Sunny,Yes
T03444,Widget A,Home Appliances,9,208.2,1873.8,5%,Mumbai,Offline,2022-10-28,28,October,2022,Foggy,Yes
T03445,Widget B,Groceries,14,4460.68,62449.52,5%,Kolkata,Offline,2022-09-07,7,September,2022,Rainy,No
T03446,Tool Z,Tools,12,2588.09,31057.08,0%,Bengaluru,Offline,2024-09-19,19,September,2024,Windy,Yes
T03447,Gadget X,Electronics,10,2003.19,20031.9,5%,Ahmedabad,Offline,2024-03-25,25,March,2024,Cloudy,No
T03448,Widget B,Home Appliances,9,3102.66,27923.94,0%,Kolkata,Online,2023-09-14,14,September,2023,Cloudy,Yes
T03449,Gadget Y,Electronics,12,3344.19,40130.28,15%,Delhi,Online,2022-02-22,22,February,2022,Rainy,Yes
T03450,Widget A,Home Appliances,6,1830.57,10983.42,15%,Ahmedabad,Online,2022-02-23,23,February,2022,Foggy,No
T03451,Gadget X,Tools,15,1473.54,22103.1,5%,Mumbai,Online,2024-02-10,10,February,2024,Foggy,Yes
T03452,Widget B,Home Appliances,6,119.11,714.66,15%,Bengaluru,Online,2024-04-02,2,April,2024,Sunny,No
T03453,Gadget X,Toys,17,1659.69,28214.73,20%,Mumbai,Online,2023-07-07,7,July,2023,Foggy,Yes
T03454,Tool Z,Electronics,8,3809.48,30475.84,10%,Bengaluru,Offline,2022-04-18,18,April,2022,Rainy,Yes
T03455,Device M,Groceries,10,854.96,8549.6,0%,Bengaluru,Offline,2024-08-22,22,August,2024,Cloudy,Yes
T03456,Gadget Y,Toys,2,4635.78,9271.56,15%,Mumbai,Online,2024-03-10,10,March,2024,Windy,Yes
T03457,Gadget Y,Groceries,17,3607.36,61325.12,15%,Ahmedabad,Offline,2024-06-13,13,June,2024,Cloudy,No
T03458,Tool Z,Electronics,19,1729.69,32864.11,15%,Pune,Online,2022-04-03,3,April,2022,Sunny,No
T03459,Widget B,Toys,19,3394.95,64504.05,5%,Kolkata,Online,2024-08-23,23,August,2024,Rainy,No
T03460,Widget B,Toys,3,308.76,926.28,10%,Bengaluru,Online,2022-11-17,17,November,2022,Windy,Yes
T03461,Tool Z,Groceries,19,2188.82,41587.58,5%,Ahmedabad,Offline,2024-10-23,23,October,2024,Cloudy,No
T03462,Widget A,Tools,1,4389.47,4389.47,20%,Pune,Online,2022-01-24,24,January,2022,Windy,No
T03463,Tool Z,Home Appliances,14,3899.08,54587.12,0%,Chennai,Offline,2023-07-02,2,July,2023,Windy,No
T03464,Tool Z,Groceries,10,1971.66,19716.6,20%,Pune,Offline,2024-01-26,26,January,2024,Sunny,No
T03465,Widget A,Toys,13,1858.71,24163.23,20%,Bengaluru,Offline,2023-11-27,27,November,2023,Sunny,No
T03466,Gadget X,Toys,11,2450.67,26957.37,20%,Hyderabad,Offline,2024-02-28,28,February,2024,Windy,Yes
T03467,Widget A,Electronics,6,207.09,1242.54,20%,Delhi,Offline,2024-12-21,21,December,2024,Windy,No
T03468,Gadget Y,Toys,8,3592.56,28740.48,0%,Delhi,Online,2022-01-23,23,January,2022,Rainy,Yes
T03469,Tool Z,Tools,6,3818.86,22913.16,5%,Pune,Online,2024-12-20,20,December,2024,Sunny,No
T03470,Gadget X,Toys,14,332.09,4649.26,5%,Ahmedabad,Offline,2022-04-16,16,April,2022,Foggy,Yes
T03471,Device M,Toys,8,3106.78,24854.24,5%,Chennai,Offline,2022-06-03,3,June,2022,Windy,No
T03472,Widget B,Tools,3,2352.36,7057.08,15%,Ahmedabad,Offline,2024-02-02,2,February,2024,Sunny,Yes
T03473,Gadget X,Tools,1,4800.68,4800.68,0%,Kolkata,Online,2023-05-18,18,May,2023,Sunny,Yes
T03474,Widget B,Home Appliances,1,3736.51,3736.51,5%,Ahmedabad,Online,2023-09-19,19,September,2023,Windy,Yes
T03475,Gadget Y,Groceries,12,1907.2,22886.4,10%,Delhi,Online,2022-12-17,17,December,2022,Cloudy,Yes
T03476,Tool Z,Electronics,7,527.55,3692.85,0%,Delhi,Online,2022-04-10,10,April,2022,Sunny,No
T03477,Widget A,Tools,10,1633.69,16336.9,20%,Kolkata,Offline,2024-12-25,25,December,2024,Cloudy,No
T03478,Device M,Groceries,9,2507.66,22568.94,20%,Bengaluru,Offline,2024-11-06,6,November,2024,Sunny,Yes
T03479,Gadget X,Toys,15,1856.97,27854.55,20%,Bengaluru,Offline,2022-10-17,17,October,2022,Cloudy,Yes
T03480,Widget B,Groceries,19,1142.47,21706.93,0%,Chennai,Online,2022-03-15,15,March,2022,Sunny,No
T03481,Gadget Y,Tools,3,462.54,1387.62,5%,Ahmedabad,Offline,2023-04-18,18,April,2023,Rainy,Yes
T03482,Gadget X,Toys,6,4344.64,26067.84,15%,Pune,Offline,2023-08-28,28,August,2023,Rainy,No
T03483,Widget B,Groceries,18,1294.7,23304.6,20%,Mumbai,Offline,2024-04-14,14,April,2024,Foggy,No
T03484,Gadget Y,Electronics,10,832.39,8323.9,10%,Kolkata,Offline,2024-08-24,24,August,2024,Foggy,No
T03485,Widget A,Tools,18,3092.98,55673.64,20%,Pune,Online,2022-06-06,6,June,2022,Sunny,No
T03486,Device M,Electronics,12,4447.43,53369.16,20%,Ahmedabad,Online,2022-01-11,11,January,2022,Sunny,Yes
T03487,Device M,Groceries,10,1010.2,10102.0,0%,Ahmedabad,Offline,2023-11-26,26,November,2023,Cloudy,Yes
T03488,Widget A,Toys,19,766.61,14565.59,5%,Bengaluru,Offline,2023-01-30,30,January,2023,Cloudy,Yes
T03489,Widget B,Electronics,16,293.56,4696.96,10%,Kolkata,Offline,2023-09-17,17,September,2023,Foggy,Yes
T03490,Tool Z,Toys,10,3575.05,35750.5,15%,Kolkata,Online,2022-12-24,24,December,2022,Cloudy,Yes
T03491,Tool Z,Toys,6,4529.27,27175.62,0%,Pune,Offline,2023-09-24,24,September,2023,Rainy,No
T03492,Tool Z,Toys,3,2127.75,6383.25,20%,Bengaluru,Online,2024-02-06,6,February,2024,Foggy,No
T03493,Gadget Y,Toys,5,3581.38,17906.9,15%,Delhi,Online,2024-05-25,25,May,2024,Foggy,Yes
T03494,Gadget X,Electronics,15,2186.43,32796.45,5%,Delhi,Offline,2022-09-17,17,September,2022,Foggy,Yes
T03495,Gadget X,Groceries,14,2298.26,32175.64,5%,Chennai,Offline,2024-11-09,9,November,2024,Windy,No
T03496,Gadget X,Tools,9,4933.62,44402.58,0%,Kolkata,Offline,2023-05-02,2,May,2023,Windy,Yes
T03497,Tool Z,Tools,13,3500.78,45510.14,0%,Chennai,Offline,2023-01-10,10,January,2023,Rainy,Yes
T03498,Widget B,Home Appliances,14,3128.5,43799.0,5%,Hyderabad,Offline,2022-07-18,18,July,2022,Foggy,No
T03499,Widget A,Groceries,1,2392.14,2392.14,15%,Kolkata,Online,2023-04-25,25,April,2023,Windy,No
T03500,Widget A,Tools,14,4703.23,65845.22,5%,Kolkata,Online,2024-03-09,9,March,2024,Cloudy,No
T03501,Tool Z,Electronics,7,3787.79,26514.53,10%,Ahmedabad,Offline,2022-02-28,28,February,2022,Cloudy,Yes
T03502,Widget A,Home Appliances,6,3163.09,18978.54,20%,Delhi,Offline,2024-11-11,11,November,2024,Cloudy,Yes
T03503,Widget B,Tools,15,4794.4,71916.0,20%,Delhi,Offline,2024-11-03,3,November,2024,Cloudy,Yes
T03504,Gadget Y,Electronics,5,4618.14,23090.7,5%,Delhi,Offline,2023-09-28,28,September,2023,Foggy,No
T03505,Widget B,Groceries,15,4093.54,61403.1,10%,Hyderabad,Online,2024-08-15,15,August,2024,Rainy,Yes
T03506,Widget B,Tools,17,2187.26,37183.42,10%,Kolkata,Online,2022-06-10,10,June,2022,Sunny,Yes
T03507,Gadget Y,Electronics,16,1521.29,24340.64,15%,Hyderabad,Online,2024-08-25,25,August,2024,Cloudy,Yes
T03508,Widget B,Toys,18,1256.09,22609.62,20%,Ahmedabad,Online,2023-08-22,22,August,2023,Cloudy,No
T03509,Gadget X,Toys,9,531.89,4787.01,0%,Bengaluru,Online,2022-03-22,22,March,2022,Windy,No
T03510,Gadget X,Tools,13,82.84,1076.92,15%,Delhi,Online,2022-08-18,18,August,2022,Foggy,Yes
T03511,Gadget X,Tools,15,2149.19,32237.85,5%,Kolkata,Offline,2023-02-21,21,February,2023,Sunny,No
T03512,Device M,Electronics,1,3120.37,3120.37,15%,Delhi,Offline,2023-11-14,14,November,2023,Windy,Yes
T03513,Tool Z,Groceries,4,4824.42,19297.68,20%,Bengaluru,Offline,2023-11-13,13,November,2023,Foggy,Yes
T03514,Gadget X,Tools,11,3769.37,41463.07,0%,Pune,Online,2022-06-23,23,June,2022,Rainy,Yes
T03515,Gadget Y,Electronics,17,2230.15,37912.55,20%,Hyderabad,Offline,2024-08-29,29,August,2024,Cloudy,Yes
T03516,Widget A,Home Appliances,16,2171.94,34751.04,5%,Mumbai,Online,2022-07-27,27,July,2022,Rainy,No
T03517,Widget A,Tools,13,2851.4,37068.2,10%,Chennai,Online,2024-04-02,2,April,2024,Rainy,No
T03518,Tool Z,Tools,8,374.46,2995.68,10%,Ahmedabad,Online,2024-08-26,26,August,2024,Rainy,Yes
T03519,Gadget Y,Toys,11,2843.02,31273.22,15%,Ahmedabad,Offline,2023-03-18,18,March,2023,Rainy,No
T03520,Gadget Y,Tools,15,1276.67,19150.05,5%,Hyderabad,Online,2023-01-26,26,January,2023,Sunny,Yes
T03521,Gadget X,Toys,11,3495.28,38448.08,20%,Hyderabad,Online,2024-03-22,22,March,2024,Foggy,No
T03522,Gadget X,Home Appliances,12,2105.43,25265.16,5%,Kolkata,Offline,2024-04-22,22,April,2024,Windy,Yes
T03523,Widget B,Electronics,9,977.53,8797.77,0%,Pune,Offline,2023-09-07,7,September,2023,Windy,No
T03524,Gadget X,Tools,7,3369.62,23587.34,10%,Chennai,Online,2024-08-31,31,August,2024,Rainy,No
T03525,Gadget X,Toys,4,590.41,2361.64,0%,Chennai,Online,2022-01-29,29,January,2022,Rainy,No
T03526,Gadget X,Tools,17,3832.43,65151.31,0%,Hyderabad,Offline,2023-11-14,14,November,2023,Windy,No
T03527,Widget B,Groceries,6,3430.82,20584.92,15%,Mumbai,Online,2024-04-09,9,April,2024,Windy,No
T03528,Gadget X,Groceries,17,4512.08,76705.36,10%,Delhi,Online,2024-06-09,9,June,2024,Sunny,No
T03529,Widget A,Tools,16,2597.75,41564.0,5%,Ahmedabad,Offline,2023-09-25,25,September,2023,Cloudy,No
T03530,Widget B,Home Appliances,13,4712.88,61267.44,10%,Chennai,Online,2022-03-26,26,March,2022,Rainy,Yes
T03531,Gadget Y,Electronics,15,3816.59,57248.85,15%,Ahmedabad,Offline,2022-06-09,9,June,2022,Rainy,Yes
T03532,Gadget X,Electronics,12,1052.4,12628.8,15%,Kolkata,Offline,2024-05-08,8,May,2024,Sunny,No
T03533,Gadget Y,Home Appliances,9,4348.72,39138.48,5%,Bengaluru,Online,2024-10-16,16,October,2024,Sunny,No
T03534,Gadget Y,Toys,1,387.24,387.24,15%,Bengaluru,Online,2024-03-13,13,March,2024,Sunny,No
T03535,Tool Z,Electronics,12,873.51,10482.12,15%,Mumbai,Offline,2024-03-08,8,March,2024,Windy,No
T03536,Gadget X,Toys,1,3618.73,3618.73,20%,Hyderabad,Offline,2023-02-12,12,February,2023,Cloudy,Yes
T03537,Widget A,Home Appliances,2,4744.84,9489.68,15%,Bengaluru,Online,2022-08-28,28,August,2022,Windy,Yes
T03538,Gadget Y,Electronics,6,681.98,4091.88,15%,Pune,Online,2024-03-08,8,March,2024,Windy,No
T03539,Gadget Y,Toys,2,1882.16,3764.32,15%,Mumbai,Offline,2022-03-25,25,March,2022,Windy,No
T03540,Widget A,Electronics,6,1080.51,6483.06,20%,Mumbai,Online,2024-01-26,26,January,2024,Foggy,Yes
T03541,Widget A,Tools,8,2170.13,17361.04,20%,Kolkata,Online,2023-09-20,20,September,2023,Rainy,No
T03542,Gadget Y,Toys,4,3330.38,13321.52,5%,Kolkata,Offline,2024-05-28,28,May,2024,Foggy,No
T03543,Gadget X,Groceries,6,2439.43,14636.58,20%,Mumbai,Offline,2022-03-04,4,March,2022,Rainy,No
T03544,Gadget X,Home Appliances,1,1162.74,1162.74,20%,Bengaluru,Online,2024-02-05,5,February,2024,Rainy,Yes
T03545,Widget B,Tools,9,2768.08,24912.72,0%,Kolkata,Offline,2024-10-17,17,October,2024,Rainy,Yes
T03546,Widget A,Electronics,3,2072.19,6216.57,5%,Mumbai,Offline,2023-07-25,25,July,2023,Cloudy,No
T03547,Device M,Electronics,4,4683.36,18733.44,10%,Ahmedabad,Online,2024-11-19,19,November,2024,Foggy,Yes
T03548,Gadget X,Electronics,17,4033.18,68564.06,0%,Hyderabad,Offline,2024-12-29,29,December,2024,Windy,No
T03549,Device M,Electronics,5,3278.27,16391.35,5%,Pune,Online,2024-12-07,7,December,2024,Sunny,No
T03550,Gadget X,Toys,11,3044.11,33485.21,5%,Chennai,Online,2024-04-25,25,April,2024,Windy,Yes
T03551,Tool Z,Toys,1,1601.81,1601.81,15%,Pune,Online,2024-05-31,31,May,2024,Cloudy,Yes
T03552,Gadget Y,Tools,14,1882.0,26348.0,15%,Hyderabad,Offline,2023-10-08,8,October,2023,Foggy,No
T03553,Gadget X,Toys,13,1129.31,14681.03,15%,Bengaluru,Offline,2023-04-27,27,April,2023,Rainy,Yes
T03554,Tool Z,Toys,3,4489.93,13469.79,15%,Bengaluru,Offline,2024-05-23,23,May,2024,Sunny,No
T03555,Device M,Home Appliances,17,2748.57,46725.69,15%,Chennai,Offline,2023-04-07,7,April,2023,Cloudy,Yes
T03556,Gadget X,Groceries,1,3053.38,3053.38,0%,Mumbai,Online,2024-10-20,20,October,2024,Rainy,No
T03557,Gadget Y,Toys,2,2359.77,4719.54,20%,Kolkata,Online,2024-09-10,10,September,2024,Cloudy,No
T03558,Device M,Electronics,6,2042.3,12253.8,5%,Ahmedabad,Offline,2022-08-17,17,August,2022,Cloudy,Yes
T03559,Device M,Toys,14,4788.31,67036.34,0%,Mumbai,Online,2023-08-08,8,August,2023,Sunny,No
T03560,Widget B,Electronics,3,4620.38,13861.14,15%,Bengaluru,Online,2024-11-15,15,November,2024,Rainy,Yes
T03561,Widget A,Tools,12,2366.25,28395.0,15%,Kolkata,Online,2023-04-20,20,April,2023,Cloudy,Yes
T03562,Gadget Y,Tools,19,3718.04,70642.76,0%,Delhi,Online,2024-11-01,1,November,2024,Rainy,No
T03563,Widget B,Electronics,8,2280.72,18245.76,15%,Pune,Online,2023-09-10,10,September,2023,Windy,No
T03564,Tool Z,Home Appliances,5,4142.32,20711.6,5%,Kolkata,Offline,2022-01-12,12,January,2022,Windy,No
T03565,Widget A,Home Appliances,10,260.44,2604.4,5%,Delhi,Offline,2022-04-27,27,April,2022,Foggy,Yes
T03566,Device M,Groceries,2,3779.37,7558.74,10%,Hyderabad,Online,2022-10-18,18,October,2022,Rainy,Yes
T03567,Gadget X,Groceries,10,3077.16,30771.6,10%,Delhi,Offline,2024-08-14,14,August,2024,Sunny,No
T03568,Widget A,Tools,2,1557.69,3115.38,15%,Pune,Online,2022-10-20,20,October,2022,Cloudy,Yes
T03569,Widget A,Tools,17,1846.33,31387.61,5%,Chennai,Online,2024-04-18,18,April,2024,Rainy,No
T03570,Widget A,Tools,12,1427.31,17127.72,20%,Bengaluru,Online,2024-11-28,28,November,2024,Sunny,No
T03571,Device M,Home Appliances,16,1016.57,16265.12,15%,Kolkata,Offline,2024-02-12,12,February,2024,Foggy,Yes
T03572,Gadget X,Electronics,6,4520.59,27123.54,20%,Chennai,Online,2024-05-30,30,May,2024,Cloudy,Yes
T03573,Tool Z,Home Appliances,8,2026.65,16213.2,15%,Delhi,Online,2024-06-25,25,June,2024,Windy,No
T03574,Widget A,Home Appliances,7,2479.78,17358.46,20%,Kolkata,Online,2022-07-04,4,July,2022,Foggy,No
T03575,Device M,Tools,19,409.3,7776.7,10%,Delhi,Offline,2023-05-10,10,May,2023,Sunny,Yes
T03576,Device M,Tools,7,4979.79,34858.53,15%,Ahmedabad,Offline,2022-08-25,25,August,2022,Sunny,Yes
T03577,Device M,Electronics,3,1839.23,5517.69,10%,Mumbai,Offline,2022-06-15,15,June,2022,Foggy,Yes
T03578,Widget A,Groceries,10,3293.58,32935.8,10%,Mumbai,Offline,2023-01-26,26,January,2023,Foggy,No
T03579,Device M,Home Appliances,18,2212.17,39819.06,0%,Ahmedabad,Online,2023-03-17,17,March,2023,Rainy,Yes
T03580,Gadget X,Groceries,12,4297.44,51569.28,15%,Ahmedabad,Online,2022-01-29,29,January,2022,Foggy,No
T03581,Widget B,Home Appliances,9,823.28,7409.52,5%,Delhi,Offline,2023-09-03,3,September,2023,Foggy,Yes
T03582,Device M,Electronics,2,770.27,1540.54,10%,Mumbai,Online,2023-09-24,24,September,2023,Foggy,Yes
T03583,Gadget Y,Electronics,8,4571.86,36574.88,10%,Pune,Offline,2022-11-13,13,November,2022,Cloudy,No
T03584,Widget B,Electronics,14,1315.22,18413.08,20%,Pune,Offline,2022-10-15,15,October,2022,Windy,No
T03585,Tool Z,Toys,12,2458.45,29501.4,10%,Delhi,Online,2022-06-17,17,June,2022,Sunny,Yes
T03586,Gadget Y,Electronics,13,4273.07,55549.91,10%,Mumbai,Online,2023-06-10,10,June,2023,Windy,Yes
T03587,Device M,Tools,11,1028.42,11312.62,20%,Mumbai,Offline,2023-04-24,24,April,2023,Rainy,Yes
T03588,Device M,Electronics,7,1393.82,9756.74,20%,Hyderabad,Online,2022-06-13,13,June,2022,Sunny,No
T03589,Widget B,Toys,14,4208.17,58914.38,10%,Ahmedabad,Online,2022-03-08,8,March,2022,Windy,No
T03590,Gadget Y,Toys,2,963.45,1926.9,10%,Pune,Offline,2024-03-12,12,March,2024,Foggy,Yes
T03591,Gadget X,Toys,4,1294.96,5179.84,20%,Bengaluru,Offline,2023-12-05,5,December,2023,Foggy,Yes
T03592,Widget A,Electronics,13,634.2,8244.6,20%,Ahmedabad,Offline,2024-01-12,12,January,2024,Cloudy,Yes
T03593,Gadget X,Home Appliances,17,4703.59,79961.03,15%,Delhi,Offline,2022-07-16,16,July,2022,Rainy,Yes
T03594,Gadget Y,Home Appliances,18,275.69,4962.42,15%,Delhi,Online,2024-10-05,5,October,2024,Cloudy,Yes
T03595,Widget B,Groceries,9,2277.05,20493.45,15%,Bengaluru,Offline,2022-11-13,13,November,2022,Windy,Yes
T03596,Gadget X,Electronics,7,2682.51,18777.57,20%,Pune,Offline,2023-04-08,8,April,2023,Sunny,No
T03597,Tool Z,Tools,13,1447.77,18821.01,20%,Ahmedabad,Offline,2022-02-19,19,February,2022,Sunny,Yes
T03598,Gadget Y,Home Appliances,12,686.7,8240.4,20%,Delhi,Offline,2024-11-15,15,November,2024,Sunny,No
T03599,Gadget Y,Toys,17,1289.95,21929.15,5%,Bengaluru,Offline,2022-07-25,25,July,2022,Cloudy,No
T03600,Tool Z,Electronics,17,2045.69,34776.73,5%,Chennai,Online,2022-10-17,17,October,2022,Cloudy,Yes
T03601,Widget A,Groceries,3,4913.25,14739.75,20%,Pune,Online,2023-03-08,8,March,2023,Cloudy,No
T03602,Tool Z,Groceries,9,4499.22,40492.98,20%,Chennai,Offline,2023-09-24,24,September,2023,Windy,No
T03603,Gadget X,Tools,16,2223.94,35583.04,15%,Hyderabad,Offline,2023-04-18,18,April,2023,Sunny,No
T03604,Tool Z,Groceries,8,3315.43,26523.44,0%,Delhi,Offline,2024-09-30,30,September,2024,Sunny,Yes
T03605,Gadget Y,Groceries,8,1030.81,8246.48,5%,Kolkata,Offline,2024-11-02,2,November,2024,Foggy,Yes
T03606,Widget A,Home Appliances,15,3456.51,51847.65,5%,Delhi,Offline,2024-03-16,16,March,2024,Windy,Yes
T03607,Device M,Home Appliances,15,519.22,7788.3,10%,Chennai,Offline,2022-09-19,19,September,2022,Cloudy,Yes
T03608,Device M,Tools,10,2652.5,26525.0,0%,Bengaluru,Online,2022-01-06,6,January,2022,Windy,No
T03609,Device M,Electronics,17,735.06,12496.02,5%,Chennai,Offline,2023-07-13,13,July,2023,Windy,Yes
T03610,Widget A,Tools,17,3787.27,64383.59,5%,Kolkata,Offline,2022-05-25,25,May,2022,Sunny,No
T03611,Gadget X,Toys,8,3323.18,26585.44,0%,Hyderabad,Online,2023-10-06,6,October,2023,Cloudy,Yes
T03612,Gadget Y,Toys,9,2800.79,25207.11,5%,Delhi,Online,2024-10-05,5,October,2024,Cloudy,Yes
T03613,Tool Z,Tools,10,3890.74,38907.4,15%,Chennai,Online,2022-06-12,12,June,2022,Windy,No
T03614,Widget B,Tools,5,4373.48,21867.4,10%,Kolkata,Offline,2024-06-14,14,June,2024,Foggy,Yes
T03615,Widget B,Home Appliances,15,2120.2,31803.0,20%,Pune,Offline,2023-04-10,10,April,2023,Sunny,No
T03616,Widget B,Home Appliances,14,4610.23,64543.22,15%,Ahmedabad,Online,2022-01-31,31,January,2022,Cloudy,No
T03617,Widget A,Electronics,17,3961.95,67353.15,10%,Mumbai,Offline,2023-12-21,21,December,2023,Windy,Yes
T03618,Gadget Y,Electronics,17,96.35,1637.95,10%,Hyderabad,Offline,2024-08-17,17,August,2024,Cloudy,Yes
T03619,Widget B,Toys,13,3342.65,43454.45,10%,Kolkata,Online,2023-01-27,27,January,2023,Cloudy,Yes
T03620,Widget B,Tools,14,553.41,7747.74,10%,Hyderabad,Offline,2023-10-17,17,October,2023,Rainy,Yes
T03621,Tool Z,Groceries,16,3872.12,61953.92,15%,Mumbai,Offline,2022-03-05,5,March,2022,Cloudy,Yes
T03622,Device M,Home Appliances,8,4869.52,38956.16,0%,Mumbai,Online,2024-05-29,29,May,2024,Foggy,Yes
T03623,Widget A,Toys,5,3525.69,17628.45,20%,Ahmedabad,Online,2022-09-20,20,September,2022,Foggy,Yes
T03624,Gadget X,Groceries,8,1799.93,14399.44,0%,Hyderabad,Online,2022-09-28,28,September,2022,Rainy,Yes
T03625,Widget B,Home Appliances,1,2407.84,2407.84,5%,Delhi,Online,2024-08-18,18,August,2024,Windy,No
T03626,Tool Z,Home Appliances,16,1555.37,24885.92,5%,Mumbai,Offline,2024-08-21,21,August,2024,Cloudy,No
T03627,Widget A,Tools,14,1273.84,17833.76,5%,Chennai,Online,2024-12-06,6,December,2024,Cloudy,No
T03628,Gadget X,Tools,16,4283.16,68530.56,0%,Ahmedabad,Online,2024-04-19,19,April,2024,Sunny,Yes
T03629,Gadget Y,Electronics,12,1959.58,23514.96,20%,Mumbai,Online,2022-04-01,1,April,2022,Foggy,Yes
T03630,Widget A,Home Appliances,3,4618.15,13854.45,20%,Chennai,Online,2024-07-23,23,July,2024,Windy,No
